isin,nome
LU0962078753,Xtrackers II Global Inflation-Linked Bond UCITS ETF 1D - EUR Hedged
LU2385068593,Xtrackers II ESG Global Government Bond UCITS ETF 4D - EUR Hedged
LU2385068163,Xtrackers II ESG Global Government Bond UCITS ETF 1D
LU0484968812,Xtrackers II ESG EUR Corporate Bond SRI PAB UCITS ETF 1D
LU2504537445,Xtrackers II Eurozone Government Bond ESG Tilted UCITS ETF 1D
LU0494592974,Xtrackers II Australia Government Bond UCITS ETF 1C
LU0478205379,Xtrackers II EUR Corporate Bond UCITS ETF 1C
LU0290357507,LU0478205379
LU0290357846,
LU0290356954,
LU0290357176,Xtrackers II Eurozone Government Bond 5-7 UCITS ETF 1C
LU0290357259,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C
LU0290355717,Xtrackers II Eurozone Government Bond UCITS ETF 1C
LU0290358224,Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF 1C
LU0378818131,LU0290358224
LU0690964092,
LU0290357929,
LU0908508814,
LU0908508731,
LU1094612022,
LU0613540268,
LU0952581584,
LU0677077884,
LU2504532131,
LU0524480265,
LU0321462953,
LU1109939865,
LU1109943388,
LU0484969463,Xtrackers II Eurozone AAA Gov Bd Swap UCITS ETF
LU2158769930,Xtrackers II Eurozone AAA Gov Bd Swap UCITS ETF
LU2673523218,
LU2673523309,
LU2673523481,
LU2673523564,
LU2673522913,
LU2673523135,
LU2673523051,
LU2809864619,
LU0429458895,Xtrackers II US Treasuries 1-3 UCITS ETF 1D
IE00094GSCQ4,Xtrackers World Equity Enhanced Active UCITS ETF 1C
IE00002ZKAP0,Xtrackers Europe Equity Enhanced Active UCITS ETF 1C
IE0002PGSLZ5,Xtrackers US Equity Enhanced Active UCITS ETF 1C
IE000472H9T4,Xtrackers NASDAQ 100 Swap UCITS ETF 1C
LU1109941689,Xtrackers II Rolling Target Mat. Sept 2027 EUR HY UCITS ETF 1C
LU0839027447,Xtrackers Nikkei 225 UCITS ETF 1D
IE00BG04M077,Xtrackers MSCI USA UCITS ETF 2C - EUR Hedged
LU0942970103,Xtrackers II ESG Global Aggregate Bond UCITS ETF 1D
LU0942970798,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C - EUR Hedged
LU0290356871,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C
LU1399300455,Xtrackers II US Treasuries UCITS ETF 2D - EUR Hedged
LU0429459356,Xtrackers II US Treasuries UCITS ETF 1D
LU0321465469,Xtrackers II USD Overnight Rate Swap UCITS ETF 1C
LU0643975161,Xtrackers II Germany Government Bond UCITS ETF 1C
LU2673522830,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1C
LU2810185665,Xtrackers II Target Maturity Sept 2028 EUR Corporate Bond UCITS ETF 1D
LU2809864296,Xtrackers II Target Maturity Sept 2030 EUR Corporate Bond UCITS ETF 1D
LU2809864452,Xtrackers II Target Maturity Sept 2032 EUR Corporate Bond UCITS ETF 1D
LU3116008346,Xtrackers Diversified Portfolio 20% Equity UCITS ETF
LU3116008429,Xtrackers Diversified Portfolio 40% Equity UCITS ETF
LU3116008692,Xtrackers Diversified Portfolio 60% Equity UCITS ETF
LU3116008775,Xtrackers Diversified Portfolio 80% Equity UCITS ETF
IE000F04HGE5,Xtrackers Floating Rate Notes Active UCITS ETF
LU3061478973,Xtrackers Europe Defence Technologies UCITS ETF 1C
LU0292096186,Xtrackers Stoxx Global Select Dividend 100 Swap UCITS ETF 1D
IE000L6ZMMC4,Xtrackers FTSE All-World UCITS ETF
IE000YKHGYN2,Xtrackers FTSE All-World ex US UCITS ETF
IE000X1GW0A7,Xtrackers MSCI World IMI UCITS ETF
IE000O7Q2E56,Xtrackers Electrification Technologies & Smart Grid UCITS ETF
IE000M8F3JA6,Xtrackers Global Growth Leaders Active UCITS ETF
IE000X4A4GV2,Xtrackers Global Equity Top Active UCITS ETF
IE00B4L5Y983,iShares Core MSCI World UCITS ETF
IE000JJPY166,iShares € Cash UCITS ETF EUR (Acc)
IE000P1IQS65,iShares World Equity Enhanced Active UCITS ETF EUR Hedged (Acc)
IE00BLLZQ805,iShares Growth Portfolio UCITS ETF EUR (Acc)
IE00BLP53M98,iShares Conservative Portfolio UCITS ETF EUR (Acc)
IE00BLLZQS08,iShares Moderate Portfolio UCITS ETF EUR (Acc)
IE00BYZK4883,iShares Digitalisation UCITS ETF USD (Acc)
IE000IAXNM41,iShares Europe Defence UCITS ETF EUR (Acc)
IE00BJ5JP212,Trend dei consumi
IE00BG0J4C88,iShares Digital Security UCITS ETF
IE000ROSD5J6,iShares Essential Metals Producers UCITS ETF USD (Acc)
